,code,title,points_r1_2021,points_r1_2020,points_r1_2019
0,AL605,Music and Instrument Technology,211,209,300
1,AL630,Pharmacy Technician,308,252,313
2,AL631,Dental Nursing,311,#+matric,350
3,AL632,Applied Science,297,#+matric,321
4,AL650,Business,AQA,#+matric,328
5,AL660,Culinary Arts,AQA,#+matric,327
6,AL661,Bar Supervision,AQA,#+matric,451*
7,AL663,Business (Sport and Recreation),AQA,#+matric,440*
8,AL701,Computer Engineering for Network Infrastructure,207,#+matric,356
9,AL702,Software Design in Artificial Intelligence for Cloud Computing,220,377,346
10,AL703,Software Design for Virtual Reality and Gaming,211,#+matric,357
11,AL704,Computer Engineering,210,#+matric,324
12,AL705,Software Design for Mobile Apps and Connected Devices,250,AQA,325
13,AL710,Mechanical Engineering,243,AQA,346
14,AL711,Mechanical Engineering and Renewable Energy,238,AQA,477
15,AL712,Automation and Robotics,247,AQA,338
16,AL713,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),226,AQA,306
17,AL718,Music and Sound Engineering,242,295,297
18,AL721,Civil Engineering,242,300,309
19,AL730,Biotechnology,261,234,302
20,AL731,Veterinary Nursing,421,207,336
21,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,AQA,300
22,AL740,Exercise and Health Science,251,AQA,309
23,AL751,Digital Marketing,241,AQA,304
24,AL752,Business,223,216,308
25,AL761,Hotel and Leisure Management,AQA,214,301
26,AL763,Graphic Design (portfolio),642,216,#575
27,AL764,Early Years Care and Education,260,204,#747
28,AL765,Applied Social Studies in Social Care,300,216,306
29,AL801,Software Design for Virtual Reality and Gaming,300,223,484*
30,AL802,Software Design in Artificial Intelligence for Cloud Computing,313,228,307
31,AL803,Software Design for Mobile Apps and Connected Devices,350,252,260
32,AL805,Computer Engineering for Network Infrastructure,321,218,#700
33,AL810,Quantity Surveying,328,214,292
34,AL811,Civil Engineering,,233,250
35,AL820,Mechanical and Polymer Engineering,327,250,270
36,AL830,General Nursing,451,400,270
37,AL832,Mental Health Nursing,440,244,266
38,AL835,Pharmacology,356,250,307
39,AL836,Nutrition and Health Science,346,241,430
40,AL837,Sports Science with Exercise Physiology,357,225,388
41,AL838,Biotechnology,324,208,451
42,AL839,Microbiology,325,781,272
43,AL840,Pharmaceutical Sciences,346,260,295
44,AL841,Athletic and Rehabilitation Therapy,477,280,293
45,AL842,Bioveterinary Science,338,303,292
46,AL843,Physical Activity and Health Science,306,332,291
47,AL849,Culinary Entrepreneurship,297,337,260
48,AL850,Business,309,333,291
49,AL851,Business and Law,302,319,465
50,AL852,Accounting,336,320,330
51,AL854,Sport Management (with international placement),300,308,280
52,AL855,Hospitality Management (with international placement),309,442,371
53,AL857,Digital Marketing,304,387,318
54,AL859,International Business,308,334,292
55,AL860,Social Care Practice,301,351,246
56,AL861,Animation and Illustration (portfolio),575,307,290
57,AL863,Graphic and Digital Design (portfolio),747,325,360
58,AL864,Early Years Care and Education,306,347,247
59,AL870,Applied Psychology,484,430,269
60,CW006,Business,171,313,#700
61,CW018,Business (options),307,306,272
62,CW027,Sustainable Farm Management and Agribusiness,236,309,270
63,CW028,Early Childhood Education and Care,260,295,319
64,CW037,Business (options),279,309,263
65,CW038,Art (portfolio),#700,302,262
66,CW047,Visual Communications and Design,241,308,243
67,CW048,Creative Computing and Digital Innovation,,304,443
68,CW057,Art (portfolio),#700,300,431
69,CW058,Tourism and Event Management,292,578,434
70,CW068,Applied Social Studies in Professional Social Care,250,781,396
71,CW077,Tourism and Event Management,223,307,336
72,CW078,Sustainable Farm Management and Agribusiness,270,418,390
73,CW087,Creative Computing and Digital Innovation,,510,365
74,CW088,Visual Communications and Design,270,441,#904
75,CW106,Physiology and Health Science,451,440,#1028
76,CW107,Analytical Science,261,328,#525
77,CW108,Science (options),266,408,350
78,CW116,Pharmacy Technician Studies,224,419,#450
79,CW117,Biosciences,215,336,#400
80,CW126,Science - Applied Biology or Applied Chemistry,251,300,#435
81,CW128,Brewing and Distilling,307,309,260
82,CW138,Sport and Exercise Science,430,306,347
83,CW148,Strength and Conditioning,388,310,590*
84,CW188,Sport Rehabilitation and Athletic Therapy,451,301,466
85,CW206,Computing - Applications or Programming,236,311,425
86,CW207,Software Development,245,300,473
87,CW208,Computer Games Development,272,412,327
88,CW217,Information Technology Management,269,302,301
89,CW227,Cybercrime and IT Security,220,368,262
90,CW237,Computing in Interactive Digital Art and Design,227,328,368
91,CW238,Software Development,295,401,315
92,CW248,Information Technology Management,293,318,290
93,CW258,Cybercrime and IT Security,292,452,279
94,CW268,Computing in Interactive Digital Art and Design,291,419,402
95,CW407,Architectural Technology,234,330,410
96,CW417,Construction Management with Building Services,225,423,409
97,CW427,Civil Engineering,208,,475
98,CW438,Construction (options),260,,320
99,CW468,Architectural Technology,291,336,444
100,CW478,Civil Engineering,465,533,375
101,CW507,Aircraft Systems,293,466,431
102,CW517,Mechanical Engineering,290,337,375
103,CW527,Electronic Engineering,226,308,300
104,CW547,TV and Media Production,303,463,342
105,CW548,Mechanical Engineering,330,510,329
106,CW558,Electronic Systems,280,477,#280
107,CW568,Aerospace Engineering,371,509,246
108,CW578,TV and Media Production,318,430,#609
109,CW706,Legal Studies,174,556,518*
110,CW707,Industrial Design,241,445,300
111,CW708,Law - LLB,292,420,434
112,CW717,Professional Social Care Practice,271,388,#339
113,CW728,Product Design Innovation,246,402,421
114,CW748,Early Childhood Education and Care,290,484,312
115,CW758,Professional Social Care Practice,360,397,440*
116,CW807,Sport Coaching and Business Management - GAA (portfolio),700,444,367
117,CW808,Media and Public Relations,247,462,488
118,CW817,Sport Coaching and Business Management - Rugby (portfolio),700,346,409
119,CW827,Sport Coaching and Business Management - Soccer (portfolio),700,507,#371
120,CW837,Digital Marketing with Analytics,215,542,464
121,CW848,Digital Marketing with Analytics,269,540,347
122,CW858,"Sports Management and Coaching (options, portfolio)",700,556,544
123,CW906,Business,164,468,499
124,CW908,Business (options),272,510,399
125,CW917,Business (options),228,467,308
126,CW926,Business with Law,204,487,473
127,CW936,Accounting,207,485,564
128,CW938,Business with Law,270,566,500
129,CW948,Accounting,319,554,553
130,PC402,Arts and Humanities,203,432,455
131,PC404,Applied Social Studies - Professional Social Care,200,510,566*
132,PC405,"Social, Political and Community Studies",263,496,465
133,PC410,Arts and Humanities (fulfils Teaching Council requirements),262,518,466
134,PC411,English and History (fulfils Teaching Council requirements),243,441,423
135,CR001,Applied Physics and Instrumentation,292,487,488
136,CR006,Applied Biosciences,420,484,507
137,CR007,Analytical and Pharmaceutical Chemistry,272,731,385
138,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,336,613,445
139,CR016,Software Development,351,590,466
140,CR021,Business (Common Entry),253,566,332
141,CR022,Business Administration,172,520,533
142,CR031,Social Care Work,360,454,545
143,CR032,Recreation and Leisure Management,343,542,588
144,CR035,Community Development,133,454,589*
145,CR041,Tourism Management,212,533,503
146,CR042,Hospitality Management,205,423,555*
147,CR046,Automotive Technology and Management,227,419,500
148,CR051,Civil Engineering,261,484,543
149,CR052,Construction,270,57,532
150,CR053,Interior Architecture,375,484,566
151,CR055,Environmental Engineering,297,,566
152,CR061,Electronic Engineering,300,528,465
153,CR062,Electrical Engineering,320,494,531
154,CR071,Mechanical Engineering,263,319,506
155,CR075,Biomedical Engineering,315,327,555
156,CR090,Architectural Technology,308,250,463
157,CR094,Nautical Science at National Maritime College of Ireland,256,361,510
158,CR095,Marine Engineering at National Maritime College of Ireland,234,240,543
159,CR105,Chemical and Biopharmaceutical Engineering,443,321,#738
160,CR106,Software Development,431,307,625*
161,CR108,Mechanical Engineering,434,255,613*
162,CR109,Structural Engineering,396,190,601*
163,CR110,Automotive Business Management and Technology,336,346,568
164,CR112,Creative Digital Media at CIT Crawford College of Art and Design,390,298,500
165,CR116,Computer Systems,365,100,578*
166,CR121,Music at CIT Cork School of Music,904,216,498*
167,CR125,Popular Music at CIT Cork School of Music,1028,208,565
168,CR130,Musical Theatre at CIT Cork School of Music,525,216,455
169,CR150,Business Information Systems,350,248,431
170,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450,251,509*
171,CR220,Fine Art at CIT Crawford College of Art and Design,400,308,294
172,CR225,Photography with New Media at CIT Crawford College of Art and Design,435,258,271
173,CR300,Physical Sciences (Common Entry),260,260,242
174,CR305,Physical Sciences (Common Entry),260,300,253
175,CR310,IT Management,347,261,508
176,CR320,Biomedical Science - Offered jointly by CIT and UCC,590,306,#462
177,CR325,Pharmaceutical Biotechnology,466,266,#513
178,CR333,Nutrition and Health Science,425,243,#480
179,CR335,Biological Sciences (Common Entry),473,255,382
180,CR340,Analytical Chemistry with Quality Assurance,327,443,317
181,CR360,Instrument Engineering,301,411,234
182,CR365,Environmental Science and Sustainable Technology,262,434,
183,CR370,Agri-Biosciences,368,394,267
184,CR400,Accounting,315,311,217
185,CR420,Marketing,290,361,243
186,CR425,International Business with Language,279,332,239
187,CR430,Sport and Exercise Management,402,868,242
188,CR440,Montessori Education,409,1088,233
189,CR500,Engineering (Common Entry),475,801,307
190,CR510,Sustainable Energy Engineering,320,838,243
191,CR520,Biomedical Engineering,444,840,247
192,CR560,Architectural Technology,375,841,288
193,CR565,Interior Architecture,431,548,244
194,CR570,Quantity Surveying,375,335,254
195,CR572,Construction Management,300,#+matric,288
196,CR580,Electrical Engineering,342,#+matric,244
197,CR590,Electronic Engineering,329,#+matric,262
198,CR600,Visual Communications at CIT Crawford College of Art and Design,280,282,245
199,CR620,Early Childhood Education and Care,397,282,254
200,CR640,Culinary Arts,220,297,240
201,CR650,Beverage Industry Management,193,565,445
202,CR655,Culinary Studies,196,398,518*
203,CR657,Hospitality Studies,171,402,#489
204,CR660,Tourism Management,246,420,#451
205,CR700,Theatre and Drama Studies at CIT Cork School of Music,609,251,356
206,CR805,Marine Electrotechnology at National Maritime College of Ireland,229,261,384
207,CR888,Information Technology,300,253,409
208,CR930,Home Economics and Business,518,397,409
209,CK101,Arts - 3 years,300,316,413
210,CK102,Social Science,434,285,#311
211,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339,298,498
212,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),421,322,511
213,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,288,542*
214,CK108,Arts International - 4 years,440,411,484
215,CK109,English - 3 years or 4 years (International Pathway),367,320,544
216,CK110,World Languages,488,444,544
217,CK111,Early Years and Childhood Studies,409,308,613*
218,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371,359,484
219,CK113,Criminology - 3 years or 4 years (International Pathway),464,336,368
220,CK114,Social Science (Youth and Community Work),#,269,601
221,CK115,Social Work - Mature Applicants only,,318,403
